OBJECTID,Name,POINT_X,POINT_Y
164,Washington,-122.92111206100,48.58722305300
165,Washington,-122.91999816900,48.58722305300
166,Washington,-122.91944122300,48.58666610740
167,Washington,-122.91833496100,48.58666610740
168,Washington,-122.91775512700,48.58621978730
169,Washington,-122.91725158700,48.58572006190
170,Washington,-122.91696167000,48.58542633080
171,Washington,-122.91575622500,48.58501434320
172,Washington,-122.91544342100,48.58474731470
173,Washington,-122.91508483900,48.58454895040
174,Washington,-122.91466522200,48.58440780630
175,Washington,-122.91416931100,48.58416748040
176,Washington,-122.91388702400,48.58444595370
177,Washington,-122.91361236600,48.58444595370
178,Washington,-122.91333007900,48.58416748040
179,Washington,-122.91194152800,48.58361053480
180,Washington,-122.91079711900,48.58361434970
181,Washington,-122.91023254400,48.58345413190
182,Washington,-122.90972900400,48.58317184460
183,Washington,-122.90917968700,48.58301544170
184,Washington,-122.90863037100,48.58284378090
185,Washington,-122.90807342500,48.58272552460
186,Washington,-122.90753936700,48.58256149270
187,Washington,-122.90697479300,48.58245086710
188,Washington,-122.90644073500,48.58231353790
189,Washington,-122.90588378900,48.58223342900
190,Washington,-122.90528106700,48.58222198520
191,Washington,-122.90499877900,48.58222198520
192,Washington,-122.90472412100,48.58194351190
193,Washington,-122.90389251700,48.58194351190
194,Washington,-122.90283203100,48.58050155600
195,Washington,-122.90266418500,48.58000183060
196,Washington,-122.90277862500,48.57972335820
197,Washington,-122.90277862500,48.57916641260
198,Washington,-122.90333557100,48.57860946700
199,Washington,-122.90333557100,48.57833480860
200,Washington,-122.90416717500,48.57749938970
201,Washington,-122.90416717500,48.57722091640
202,Washington,-122.90444183300,48.57694625900
203,Washington,-122.90469360400,48.57627868680
204,Washington,-122.90483093300,48.57585144050
205,Washington,-122.90537262000,48.57555389440
206,Washington,-122.90591430700,48.57527160620
207,Washington,-122.90641784700,48.57493591270
208,Washington,-122.90677642800,48.57446289080
209,Washington,-122.90713501000,48.57398223920
210,Washington,-122.90750885000,48.57353210420
211,Washington,-122.90792083700,48.57310104390
212,Washington,-122.90839386000,48.57269287130
213,Washington,-122.90888214100,48.57225799600
214,Washington,-122.90941619800,48.57193756130
215,Washington,-122.90994262700,48.57161331160
216,Washington,-122.91042327900,48.57124328640
217,Washington,-122.91088104300,48.57084274280
218,Washington,-122.91132354700,48.57043075530
219,Washington,-122.91169738800,48.56996154750
220,Washington,-122.91210937500,48.56949996950
221,Washington,-122.91242980900,48.56901550300
222,Washington,-122.91282653800,48.56862258920
223,Washington,-122.91324615500,48.56826782190
224,Washington,-122.91365814200,48.56790161170
225,Washington,-122.91410064700,48.56756591810
226,Washington,-122.91456604000,48.56724166850
227,Washington,-122.91503906300,48.56692886360
228,Washington,-122.91550445600,48.56659317000
229,Washington,-122.91595459000,48.56625366250
230,Washington,-122.91648101800,48.56600952170
231,Washington,-122.91698455800,48.56573867830
232,Washington,-122.91741943300,48.56533431970
233,Washington,-122.91786193900,48.56496429460
234,Washington,-122.91829681400,48.56458282460
235,Washington,-122.91889190700,48.56440353400
236,Washington,-122.91948699900,48.56425857590
237,Washington,-122.92008209200,48.56433868390
238,Washington,-122.92060089100,48.56464767480
239,Washington,-122.92111969000,48.56500244110
240,Washington,-122.92163848900,48.56537246720
241,Washington,-122.92214965800,48.56575012220
242,Washington,-122.92266082800,48.56611251840
243,Washington,-122.92292785700,48.56626510630
244,Washington,-122.92317199700,48.56640243550
245,Washington,-122.92367553700,48.56640243550
246,Washington,-122.92416381800,48.56631469770
247,Washington,-122.92455291700,48.56607437090
248,Washington,-122.92487335200,48.56576538100
249,Washington,-122.92514038100,48.56544113130
250,Washington,-122.92545318600,48.56518554670
251,Washington,-122.92541503900,48.56505584730
252,Washington,-122.92500305200,48.56466674850
253,Washington,-122.92416381800,48.56416702310
254,Washington,-122.92361450200,48.56416702310
255,Washington,-122.92333221400,48.56388854980
256,Washington,-122.92305755600,48.56388854980
257,Washington,-122.92277526900,48.56361007650
258,Washington,-122.92250061000,48.56361007650
259,Washington,-122.92166900600,48.56277847250
260,Washington,-122.92205810500,48.56239318860
261,Washington,-122.92222595200,48.56222152690
262,Washington,-122.92333221400,48.56222152690
263,Washington,-122.92361450200,48.56194305450
264,Washington,-122.92416381800,48.56194305450
265,Washington,-122.92444610600,48.56222152690
266,Washington,-122.92500305200,48.56222152690
267,Washington,-122.92610931400,48.56333160420
268,Washington,-122.92639160200,48.56333160420
269,Washington,-122.92722320600,48.56416702310
270,Washington,-122.92805481000,48.56416702310
271,Washington,-122.92833709700,48.56444549550
272,Washington,-122.92916870100,48.56444549550
273,Washington,-122.92948913600,48.56472396870
274,Washington,-122.93166351300,48.56472396870
275,Washington,-122.93360900900,48.56444549550
276,Washington,-122.93555450400,48.56444549550
277,Washington,-122.93583679200,48.56416702310
278,Washington,-122.93611145000,48.56416702310
279,Washington,-122.93666839600,48.56393051130
280,Washington,-122.93719482400,48.56389236470
281,Washington,-122.93773651200,48.56388854980
282,Washington,-122.93827056900,48.56385040330
283,Washington,-122.93870544500,48.56364440910
284,Washington,-122.93913269000,48.56341171310
285,Washington,-122.93946075500,48.56303405720
286,Washington,-122.93973541200,48.56259536700
287,Washington,-122.93996429400,48.56211853020
288,Washington,-122.93995666500,48.56157302850
289,Washington,-122.93971252400,48.56106948820
290,Washington,-122.93933868400,48.56061935410
291,Washington,-122.93884277400,48.56029129040
292,Washington,-122.93833160400,48.56000137330
293,Washington,-122.93805694500,48.55972290000
294,Washington,-122.93777465800,48.55944442760
295,Washington,-122.93750000000,48.55944442760
296,Washington,-122.93722534100,48.55916595430
297,Washington,-122.93722534100,48.55888748200
298,Washington,-122.93750000000,48.55861282360
299,Washington,-122.93750763000,48.55800628670
300,Washington,-122.93833160400,48.55722045910
301,Washington,-122.93861389200,48.55722045910
302,Washington,-122.94027710000,48.55777740470
303,Washington,-122.94083404600,48.55777740470
304,Washington,-122.94126892100,48.55801773050
305,Washington,-122.94182586600,48.55805587800
306,Washington,-122.94238281200,48.55804824810
307,Washington,-122.94292450000,48.55798721290
308,Washington,-122.94313049300,48.55799484280
309,Washington,-122.94403839100,48.55848312340
310,Washington,-122.94458007800,48.55910873410
311,Washington,-122.94449615500,48.55957031290
312,Washington,-122.94445800800,48.56002426190
313,Washington,-122.94451904300,48.56045150730
314,Washington,-122.94472503700,48.56081771850
315,Washington,-122.94500732400,48.56114578220
316,Washington,-122.94533538800,48.56143569930
317,Washington,-122.94573211700,48.56167221110
318,Washington,-122.94614410400,48.56190872200
319,Washington,-122.94660186700,48.56190490710
320,Washington,-122.94706726100,48.56167984010
321,Washington,-122.94755554200,48.56146621690
322,Washington,-122.94807434100,48.56134033160
323,Washington,-122.94848632800,48.56108474700
324,Washington,-122.94876861600,48.56074905430
325,Washington,-122.94882965100,48.56034469580
326,Washington,-122.94862365700,48.55992126440
327,Washington,-122.94837951700,48.55950927770
328,Washington,-122.94806671200,48.55918502810
329,Washington,-122.94769287100,48.55895233120
330,Washington,-122.94728088400,48.55880355810
331,Washington,-122.94689941400,48.55864334120
332,Washington,-122.94648742700,48.55860900870
333,Washington,-122.94607543900,48.55860900870
334,Washington,-122.94555664100,48.55861282360
335,Washington,-122.94527435300,48.55861282360
336,Washington,-122.94472503700,48.55805587800
337,Washington,-122.94441223100,48.55738830580
338,Washington,-122.94416809000,48.55722045910
339,Washington,-122.94414520300,48.55696105950
340,Washington,-122.94415283200,48.55684661900
341,Washington,-122.94416046200,48.55671691880
342,Washington,-122.94409179600,48.55648422280
343,Washington,-122.94390106200,48.55628967240
344,Washington,-122.94369506900,48.55607986420
345,Washington,-122.94348144600,48.55584335330
346,Washington,-122.94322967500,48.55564117400
347,Washington,-122.94288635200,48.55553054840
348,Washington,-122.94256591800,48.55534362790
349,Washington,-122.94219207800,48.55518722500
350,Washington,-122.94203949000,48.55500030540
351,Washington,-122.94194793700,48.55488586400
352,Washington,-122.94167327800,48.55461883550
353,Washington,-122.94142150900,48.55433654820
354,Washington,-122.94123077400,48.55399703970
355,Washington,-122.94109344500,48.55360794090
356,Washington,-122.94090271000,48.55324554460
357,Washington,-122.94076538100,48.55289077740
358,Washington,-122.94071960400,48.55274581930
359,Washington,-122.94078826900,48.55257034260
360,Washington,-122.94084930400,48.55223846400
361,Washington,-122.94100189200,48.55169296230
362,Washington,-122.94148254400,48.55132675200
363,Washington,-122.94198608400,48.55087661710
364,Washington,-122.94248199500,48.55033111530
365,Washington,-122.94298553500,48.54974365200
366,Washington,-122.94341278000,48.54907989480
367,Washington,-122.94384765700,48.54842758150
368,Washington,-122.94439697200,48.54790496830
369,Washington,-122.94506836000,48.54766082760
370,Washington,-122.94574737600,48.54771804780
371,Washington,-122.94643402100,48.54767990130
372,Washington,-122.94705963100,48.54747009310
373,Washington,-122.94764709400,48.54718017590
374,Washington,-122.94818878200,48.54687118510
375,Washington,-122.94867706300,48.54674911470
376,Washington,-122.94879150400,48.54671859710
377,Washington,-122.94939422600,48.54674911470
378,Washington,-122.94993591300,48.54699325540
379,Washington,-122.95040893600,48.54735565160
380,Washington,-122.95087432900,48.54773712160
381,Washington,-122.95140075700,48.54804992650
382,Washington,-122.95194244400,48.54833602870
383,Washington,-122.95249938900,48.54860687210
384,Washington,-122.95306396500,48.54885101290
385,Washington,-122.95365905800,48.54900741580
386,Washington,-122.95428466800,48.54901504560
387,Washington,-122.95486450200,48.54919052130
388,Washington,-122.95542144800,48.54944610600
389,Washington,-122.95597839300,48.54971694940
390,Washington,-122.95655059900,48.54995727520
391,Washington,-122.95702362000,48.55006027190
392,Washington,-122.95715332100,48.55009078950
393,Washington,-122.95778656000,48.54996109010
394,Washington,-122.95826721200,48.54978942840
395,Washington,-122.95841217000,48.54973983800
396,Washington,-122.95906829800,48.54955291750
397,Washington,-122.95975494400,48.54956054650
398,Washington,-122.96037292500,48.54979705830
399,Washington,-122.96085357700,48.55020141600
400,Washington,-122.96112060500,48.55072021510
401,Washington,-122.96127319300,48.55086898810
402,Washington,-122.96154785100,48.55114364650
403,Washington,-122.96208190900,48.55130004850
404,Washington,-122.96259307900,48.55119705180
405,Washington,-122.96296691900,48.55085754420
406,Washington,-122.96321868900,48.55041122420
407,Washington,-122.96362304700,48.55002212530
408,Washington,-122.96399688700,48.54973602310
409,Washington,-122.96449279800,48.54950714110
410,Washington,-122.96509552000,48.54940032960
411,Washington,-122.96569824200,48.54931640660
412,Washington,-122.96628570600,48.54954528770
413,Washington,-122.96679687500,48.54994583130
414,Washington,-122.96714019700,48.55052185070
415,Washington,-122.96736907900,48.55121994040
416,Washington,-122.96765899700,48.55192184420
417,Washington,-122.96784973100,48.55268096920
418,Washington,-122.96805572500,48.55389022820
419,Washington,-122.96805572500,48.55416488650
420,Washington,-122.96778106700,48.55444335980
421,Washington,-122.96805572500,48.55472183210
422,Washington,-122.96805572500,48.55500030540
423,Washington,-122.96861267100,48.55555725110
424,Washington,-122.96888732900,48.55527877780
425,Washington,-122.96916961700,48.55527877780
426,Washington,-122.96944427500,48.55500030540
427,Washington,-122.96944427500,48.55472183210
428,Washington,-122.96983337400,48.55464935310
429,Washington,-122.97018432600,48.55449295020
430,Washington,-122.97058105500,48.55440139740
431,Washington,-122.97097778400,48.55423736560
432,Washington,-122.97132873500,48.55395889320
433,Washington,-122.97169494600,48.55366897600
434,Washington,-122.97208404500,48.55339050280
435,Washington,-122.97254180900,48.55318450950
436,Washington,-122.97303009000,48.55299758900
437,Washington,-122.97346496600,48.55275726310
438,Washington,-122.97386932300,48.55244827230
439,Washington,-122.97429657000,48.55214691130
440,Washington,-122.97487640400,48.55195617670
441,Washington,-122.97550201400,48.55181503260
442,Washington,-122.97615814200,48.55166244470
443,Washington,-122.97682952900,48.55152893040
444,Washington,-122.97753143300,48.55147934000
445,Washington,-122.97824096700,48.55163192710
446,Washington,-122.97885894700,48.55195617670
447,Washington,-122.97938537600,48.55238342310
448,Washington,-122.97985076900,48.55289077740
449,Washington,-122.98026275700,48.55344009410
450,Washington,-122.98054504400,48.55414199790
451,Washington,-122.98081207300,48.55486297620
452,Washington,-122.98133087200,48.55537414550
453,Washington,-122.98200225900,48.55564498890
454,Washington,-122.98274231000,48.55578613300
455,Washington,-122.98348236100,48.55583572340
456,Washington,-122.98421478200,48.55589675860
457,Washington,-122.98489379900,48.55606842030
458,Washington,-122.98547363300,48.55635070760
459,Washington,-122.98591613800,48.55674362140
460,Washington,-122.98628997800,48.55721282920
461,Washington,-122.98667907700,48.55767059310
462,Washington,-122.98719024600,48.55804824810
463,Washington,-122.98770904500,48.55842590310
464,Washington,-122.98807525600,48.55890274080
465,Washington,-122.98815155000,48.55948638910
466,Washington,-122.98827362100,48.56010055500
467,Washington,-122.98847961400,48.56068801910
468,Washington,-122.98844146700,48.56121826210
469,Washington,-122.98805999800,48.56156539950
470,Washington,-122.98747253400,48.56172943140
471,Washington,-122.98691558900,48.56191253690
472,Washington,-122.98629760800,48.56204986610
473,Washington,-122.98570251500,48.56217193560
474,Washington,-122.98509216300,48.56214904780
475,Washington,-122.98451232900,48.56195068350
476,Washington,-122.98391723600,48.56173706030
477,Washington,-122.98328399700,48.56158065830
478,Washington,-122.98265838600,48.56138610800
479,Washington,-122.98208618200,48.56106948820
480,Washington,-122.98141479500,48.56090164140
481,Washington,-122.98072815000,48.56071853670
482,Washington,-122.98008728000,48.56041717570
483,Washington,-122.97951507600,48.56002426190
484,Washington,-122.97892761200,48.55961990330
485,Washington,-122.97836303700,48.55919647190
486,Washington,-122.97786712600,48.55871963520
487,Washington,-122.97759246800,48.55852889980
488,Washington,-122.97731018100,48.55833435040
489,Washington,-122.97684478800,48.55791473390
490,Washington,-122.97638702400,48.55779647840
491,Washington,-122.97593689000,48.55779647840
492,Washington,-122.97550964400,48.55787277240
493,Washington,-122.97513580400,48.55802154550
494,Washington,-122.97444152900,48.55805587800
495,Washington,-122.97416687000,48.55833435040
496,Washington,-122.97360992500,48.55833435040
497,Washington,-122.97333526600,48.55861282360
498,Washington,-122.97305297800,48.55861282360
499,Washington,-122.97250366200,48.55916595430
500,Washington,-122.97258758500,48.55925369220
501,Washington,-122.97277832000,48.55944442760
502,Washington,-122.97305297800,48.55944442760
503,Washington,-122.97333526600,48.55972290000
504,Washington,-122.97389221200,48.55972290000
505,Washington,-122.97444152900,48.56027603160
506,Washington,-122.97483062800,48.56028366060
507,Washington,-122.97514343300,48.56056594880
508,Washington,-122.97547912600,48.56085205100
509,Washington,-122.97580719000,48.56117248570
510,Washington,-122.97610473700,48.56154632580
511,Washington,-122.97640228300,48.56194305450
512,Washington,-122.97672271800,48.56232452360
513,Washington,-122.97709655800,48.56266021710
514,Washington,-122.97745513900,48.56299972560
515,Washington,-122.97768402100,48.56322479260
516,Washington,-122.97779846200,48.56333541910
517,Washington,-122.97820282000,48.56364059410
518,Washington,-122.97853088400,48.56398010260
519,Washington,-122.97879791200,48.56434249880
520,Washington,-122.97906494200,48.56468963620
521,Washington,-122.97933960000,48.56499481220
522,Washington,-122.97958374000,48.56528091440
523,Washington,-122.97978973400,48.56555938770
524,Washington,-122.97993469200,48.56583023110
525,Washington,-122.97998809800,48.56613159210
526,Washington,-122.98005676300,48.56641387940
527,Washington,-122.98000335700,48.56722259560
528,Washington,-122.97972106900,48.56750106800
529,Washington,-122.97972106900,48.56833267200
530,Washington,-122.98030090300,48.56892395020
531,Washington,-122.98055267300,48.56861114530
532,Washington,-122.98083496100,48.56861114530
533,Washington,-122.98166656500,48.56777954130
534,Washington,-122.98166656500,48.56750106800
535,Washington,-122.98223114000,48.56700897250
536,Washington,-122.98262024000,48.56682968180
